source,target
14,6597069770217
14,15393162793052
16,24189255815615
16,26388279070147
16,37383395352088
27,30786325578027
47,2199023257251
66,10995116278602
66,10995116283689
66,13194139534180
66,15393162789136
66,30786325581003
66,35184372094784
79,30786325588189
100,1164
100,19791209302997
100,21990232559260
113,2199023258669
113,8796093027051
113,13194139535349
113,13194139537007
113,13194139539577
113,15393162795813
113,21990232561386
113,28587302329044
113,35184372091851
113,37383395345186
137,1164
137,2199023262063
137,4398046511304
137,6597069774109
137,32985348840010
137,35184372089359
141,2199023258844
141,2199023266478
141,4398046521216
141,6597069775831
141,10995116280412
141,10995116285385
141,21990232563972
141,28587302322295
141,37383395351754
167,24189255815805
167,26388279070832
177,19791209303940
182,1164
182,4398046521216
182,4398046522020
182,8796093026744
182,8796093027159
182,10995116277966
182,15393162792765
182,17592186045373
182,17592186055017
182,24189255813538
182,26388279067058
182,30786325586851
182,35184372092017
182,37383395350608
217,19791209309107
217,35184372089026
235,10995116284589
235,28587302327725
261,6095
261,4398046514415
261,4398046514800
261,6597069775042
261,13194139533842
261,13194139540142
261,19791209310888
261,24189255818481
261,30786325582767
261,30786325586720
261,32985348839485
261,37383395344702
261,37383395348452
261,37383395351754
283,17592186045969
358,1164
358,4398046517570
358,8796093030242
358,15393162788957
358,21990232559659
358,21990232560671
358,26388279077457
358,32985348840010
361,1164
361,2199023256836
361,2199023258669
361,2199023266169
361,4398046517894
361,4398046521993
361,6597069771706
361,8796093024380
361,8796093026336
361,8796093031180
361,10995116279088
361,13194139534316
361,13194139542965
361,15393162795813
361,17592186045208
361,17592186045373
361,19791209300166
361,19791209304349
361,19791209307886
361,19791209310212
361,24189255819075
361,24189255819865
361,26388279068313
361,26388279072733
361,28587302324736
361,30786325581297
361,30786325587193
361,35184372088856
361,35184372091851
376,15393162793774
376,21990232563317
376,24189255814889
376,28587302329524
384,8060
384,37383395352088
474,682
474,2199023263200
474,2199023264173
474,4398046511304
474,4398046516402
474,10995116278602
474,10995116283689
474,10995116288202
474,21990232565046
474,21990232565211
474,24189255811793
474,35184372096032
480,2199023257251
480,2199023258809
480,15393162790976
480,30786325588189
504,2199023258669
504,2199023259320
504,6597069772488
504,8796093032264
504,10995116282628
504,15393162791409
504,24189255811750
504,32985348842205
504,35184372092017
563,4503
563,2199023258646
563,2199023264173
563,4398046517909
563,6597069777641
563,10995116284752
563,15393162789136
563,15393162798988
563,17592186051871
563,21990232557596
563,21990232558893
563,26388279070832
563,26388279074506
563,28587302331852
563,30786325581300
563,35184372095151
563,37383395349499
641,21990232559659
664,1164
664,10995116284554
664,19791209303940
664,28587302322713
681,1164
681,6597069773796
681,8796093027022
681,37383395345487
682,4617
682,4961
682,2199023258646
682,2199023261502
682,4398046519431
682,6597069771431
682,8796093030242
682,10995116278602
682,10995116286273
682,15393162793486
682,15393162795422
682,19791209300362
682,19791209304439
682,26388279075022
682,26388279077527
682,28587302327725
682,30786325581477
682,35184372094729
694,4398046519431
694,6597069770790
694,8796093027868
694,8796093029676
694,15393162793934
694,21990232557231
694,24189255815805
694,32985348837497
697,15393162793576
837,37383395348452
939,13194139539552
948,3579
948,8326
948,4398046517216
948,6597069774399
948,10995116278138
948,10995116280412
948,21990232563572
948,24189255811291
948,24189255813538
948,24189255814889
948,28587302329082
948,28587302332688
948,30786325585385
948,32985348840784
948,35184372090491
977,2199023262579
977,4398046513698
977,4398046519310
977,13194139544007
977,15393162799347
977,19791209304999
977,19791209305996
977,26388279067076
977,30786325586734
977,32985348834866
977,37383395348730
977,37383395354454
999,6597069769134
999,6597069771139
999,10995116280412
999,13194139533842
999,15393162793364
999,17592186045196
999,26388279070147
999,32985348843177
999,37383395344616
1020,6597069771115
1020,13194139540003
1020,15393162797132
1020,21990232562514
1024,15393162797132
1034,15393162791055
1065,6597069771706
1065,10995116284563
1065,15393162790530
1065,15393162792765
1065,17592186047799
1065,26388279077527
1164,2199023259163
1164,2199023266169
1164,4398046516402
1164,6597069773784
1164,6597069774109
1164,13194139536367
1164,15393162796545
1164,17592186045902
1164,19791209301675
1164,26388279066927
1164,26388279073879
1164,32985348840010
1164,37383395346475
1169,6686
1169,7837
1169,15393162790976
1198,4398046511304
1198,28587302332259
1227,10995116284458
1272,6597069774378
1272,6597069774986
1272,6597069776987
1272,15393162791409
1272,17592186045987
1272,19791209305839
1272,24189255816049
1272,24189255817587
1272,30786325578411
1272,30786325581529
1339,2199023256836
1339,8796093029676
1339,13194139542022
1339,30786325585990
1365,2199023257203
1365,8796093026336
1365,15393162789525
1365,17592186046237
1365,32985348834863
1375,6597069771139
1375,24189255817133
1375,26388279069292
1375,30786325587391
1375,35184372089365
1375,35184372096832
1380,6597069774986
1380,37383395352273
1386,2199023261502
1462,17592186046583
1462,21990232559401
1462,30786325586802
1497,2199023264745
1511,5688
1511,2199023257203
1511,4398046519227
1511,10995116277761
1511,10995116278602
1511,13194139539096
1511,21990232557291
1511,21990232563572
1511,24189255816049
1511,28587302324529
1511,32985348834070
1511,32985348842070
1511,35184372092338
1511,37383395346820
1511,37383395347365
1511,37383395354152
1513,2199023256836
1513,10995116284458
1521,6597069776987
1527,15393162793576
1527,24189255811465
1534,8796093030877
1534,15393162790976
1534,35184372096832
1537,6597069774986
1537,28587302330608
1567,4398046514800
1567,8796093031473
1567,30786325579577
1567,35184372094784
1567,35184372097831
1567,37383395352091
1585,2199023262010
1585,8796093027051
1585,13194139534180
1585,13194139544187
1585,19791209301779
1585,28587302325233
1585,30786325579846
1656,2199023256836
1656,21990232560776
1656,28587302330608
1656,32985348841792
1738,2199023257251
1760,24189255814889
1774,10995116284554
1810,4546
1810,4617
1810,2199023261502
1810,4398046519431
1810,4398046522020
1810,6597069771139
1810,10995116287308
1810,19791209304999
1810,19791209306906
1810,21990232558939
1810,21990232559659
1810,21990232565548
1810,21990232565902
1810,24189255811945
1810,35184372093215
1851,2199023265089
1851,6597069771139
1851,10995116287466
1851,13194139536657
1851,13194139536770
1851,13194139542022
1851,21990232557596
1851,24189255819815
1851,30786325578118
1851,37383395354152
1882,28587302327725
1891,8796093027051
1933,8060
1933,19791209303940
1975,3579
1975,3656
1975,2199023255629
1975,2199023261502
1975,4398046522020
1975,24189255811291
1975,30786325582912
1978,30786325582767
1978,30786325585990
1989,2972
1989,2199023261520
1989,2199023262063
1989,6597069772339
1989,6597069776343
1989,6597069776987
1989,13194139540372
1989,17592186045208
1989,17592186046237
1989,17592186050790
1989,19791209303940
1989,19791209309927
1989,21990232561265
1989,21990232563317
1989,30786325578081
1989,37383395345539
2028,6597069774986
2040,15393162795813
2040,19791209309821
2040,26388279075503
2040,28587302324197
2040,28587302324262
2119,2199023258646
2119,4398046512729
2119,6597069774986
2119,10995116284554
2119,13194139538863
2123,8060
2123,6597069771139
2123,8796093029676
2123,24189255817133
2123,37383395345533
2174,4398046513564
2174,6597069773602
2174,10995116284517
2174,13194139539552
2174,15393162790976
2174,21990232555764
2174,21990232559260
2174,21990232560877
2174,30786325588189
2184,10995116277919
2184,19791209301779
2184,21990232565037
2184,26388279072682
2184,26388279076893
2184,30786325583430
2208,6686
2208,26388279071809
2216,24189255815615
2239,3224
2239,4961
2239,7363
2239,9262
2239,2199023259320
2239,4398046511304
2239,6597069767047
2239,6597069767124
2239,6597069769061
2239,6597069772146
2239,8796093024380
2239,8796093028153
2239,8796093032132
2239,10995116277919
2239,10995116285001
2239,10995116288202
2239,13194139534180
2239,13194139536204
2239,15393162790976
2239,15393162793717
2239,15393162797781
2239,17592186051568
2239,19791209302340
2239,19791209303784
2239,19791209304439
2239,19791209305839
2239,19791209306952
2239,19791209309107
2239,19791209309821
2239,21990232555526
2239,21990232557693
2239,21990232558939
2239,21990232559260
2239,21990232559877
2239,21990232565037
2239,21990232565214
2239,24189255817462
2239,26388279070832
2239,28587302327572
2239,28587302328611
2239,28587302332032
2239,30786325585467
2239,30786325586720
2239,30786325587541
2239,30786325588489
2239,32985348833424
2239,32985348835752
2239,32985348837497
2239,32985348839370
2239,32985348840727
2239,35184372090120
2239,35184372093215
2239,37383395345180
2318,19791209303940
2318,26388279073722
2368,13194139539552
2368,24189255820753
2378,10995116287290
2378,10995116288080
2378,13194139538590
2378,15393162790196
2378,24189255815615
2378,26388279071554
2378,32985348841536
2378,37383395345487
2394,7837
2394,2199023258646
2394,4398046516402
2394,4398046519918
2394,6597069766821
2394,6597069771431
2394,10995116284752
2394,15393162793949
2394,24189255812667
2394,30786325581477
2394,35184372093350
2394,37383395349610
2435,2972
2435,3507
2435,4091
2435,6762
2435,7449
2435,8060
2435,9552
2435,9995
2435,2199023260922
2435,2199023261409
2435,2199023261502
2435,2199023261520
2435,2199023262165
2435,2199023265325
2435,4398046511304
2435,4398046512729
2435,4398046513838
2435,4398046521993
2435,6597069766821
2435,6597069769432
2435,6597069774378
2435,8796093022269
2435,8796093027022
2435,8796093032264
2435,10995116277974
2435,10995116278369
2435,10995116280412
2435,10995116282628
2435,13194139534075
2435,13194139536770
2435,13194139537936
2435,13194139539343
2435,13194139539554
2435,13194139539617
2435,13194139540003
2435,13194139540056
2435,13194139542965
2435,13194139543653
2435,13194139543880
2435,15393162788923
2435,15393162790025
2435,15393162793934
2435,15393162795090
2435,17592186044801
2435,17592186045852
